CommentID,Title,PostedDate,LastModified,Agency,DocumentType,Withdrawn,ObjectID
OPM-2025-0007-0450,Comment from Squirrel Moore,2025-06-26T04:00:00Z,2025-06-26T19:41:54Z,OPM,Public Submission,False,09000064b8e324eb
OPM-2025-0007-0268,Comment from Anonymous,2025-06-13T04:00:00Z,2025-06-14T00:25:49Z,OPM,Public Submission,False,09000064b8e0b609
OPM-2025-0007-0267,Comment from Anonymous,2025-06-13T04:00:00Z,2025-06-14T00:25:20Z,OPM,Public Submission,False,09000064b8e0b813
OPM-2025-0007-0420,Comment from Jean Zuckweiler,2025-06-25T04:00:00Z,2025-06-25T15:27:58Z,OPM,Public Submission,False,09000064b8e2e4b5
OPM-2025-0007-0419,Comment from Anonymous,2025-06-25T04:00:00Z,2025-06-25T15:26:50Z,OPM,Public Submission,False,09000064b8e2e666
OPM-2025-0007-0470,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-27T15:04:32Z,OPM,Public Submission,False,09000064b8e36916
OPM-2025-0007-0471,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-27T15:05:30Z,OPM,Public Submission,False,09000064b8e36a7b
OPM-2025-0007-0472,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-27T15:28:23Z,OPM,Public Submission,False,09000064b8e36c59
OPM-2025-0007-0473,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-28T01:12:47Z,OPM,Public Submission,False,09000064b8e36beb
OPM-2025-0007-0474,Comment from AFGE L3347,2025-06-27T04:00:00Z,2025-06-28T01:15:51Z,OPM,Public Submission,False,09000064b8e3c76b
OPM-2025-0007-0477,Comment from Erin Maker,2025-06-30T04:00:00Z,2025-06-30T15:25:19Z,OPM,Public Submission,False,09000064b8e36d9d
OPM-2025-0007-0455,Comment from Deana Chupp,2025-06-26T04:00:00Z,2025-06-27T02:14:19Z,OPM,Public Submission,False,09000064b8e34fdc
OPM-2025-0007-0451,Comment from Anonymous,2025-06-26T04:00:00Z,2025-06-26T21:58:35Z,OPM,Public Submission,False,09000064b8e34506
OPM-2025-0007-0449,Comment from Abeer Hoque,2025-06-26T04:00:00Z,2025-06-26T19:41:54Z,OPM,Public Submission,False,09000064b8e324d8
OPM-2025-0007-0465,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-27T14:56:03Z,OPM,Public Submission,False,09000064b8e3628c
OPM-2025-0007-0466,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-27T14:56:57Z,OPM,Public Submission,False,09000064b8e36296
OPM-2025-0007-0468,Comment from Anonymous,2025-06-27T04:00:00Z,2025-06-27T14:58:41Z,OPM,Public Submission,False,09000064b8e366ea
OPM-2025-0007-0478,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T17:00:32Z,OPM,Public Submission,False,09000064b8e36e55
OPM-2025-0007-0483,Comment from Luke Smith,2025-06-30T04:00:00Z,2025-06-30T17:10:09Z,OPM,Public Submission,False,09000064b8e3a67b
OPM-2025-0007-0493,Comment from Citizen KF,2025-06-30T04:00:00Z,2025-06-30T17:35:03Z,OPM,Public Submission,False,09000064b8e3d225
OPM-2025-0007-0492,Comment from Aubrey LaBarre,2025-06-30T04:00:00Z,2025-06-30T17:31:19Z,OPM,Public Submission,False,09000064b8e3ccd0
OPM-2025-0007-0500,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:17:09Z,OPM,Public Submission,False,09000064b8e42023
OPM-2025-0007-0508,Comment from Rob Lester,2025-06-30T04:00:00Z,2025-06-30T18:25:13Z,OPM,Public Submission,False,09000064b8e43b4c
OPM-2025-0007-0503,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:17:11Z,OPM,Public Submission,False,09000064b8e44146
OPM-2025-0007-0533,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T19:17:42Z,OPM,Public Submission,False,09000064b8e46a22
OPM-2025-0007-0536,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T19:17:44Z,OPM,Public Submission,False,09000064b8e4484e
OPM-2025-0007-0524,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:46:07Z,OPM,Public Submission,False,09000064b8e43c2a
OPM-2025-0007-0521,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:46:05Z,OPM,Public Submission,False,09000064b8e4499c
OPM-2025-0007-0527,Comment from Julie Stoverink,2025-06-30T04:00:00Z,2025-06-30T18:46:09Z,OPM,Public Submission,False,09000064b8e4509f
OPM-2025-0007-0526,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:46:08Z,OPM,Public Submission,False,09000064b8e451b7
OPM-2025-0007-0528,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:46:10Z,OPM,Public Submission,False,09000064b8e4566e
OPM-2025-0007-0532,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:58:27Z,OPM,Public Submission,False,09000064b8e45d45
OPM-2025-0007-0512,Comment from Ryan King,2025-06-30T04:00:00Z,2025-06-30T18:35:48Z,OPM,Public Submission,False,09000064b8e43ba8
OPM-2025-0007-0516,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:35:51Z,OPM,Public Submission,False,09000064b8e44672
OPM-2025-0007-0518,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T18:35:52Z,OPM,Public Submission,False,09000064b8e446e3
OPM-2025-0007-0545,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T20:00:57Z,OPM,Public Submission,False,09000064b8e491a5
OPM-2025-0007-0546,Comment from James Zakany,2025-06-30T04:00:00Z,2025-06-30T20:00:58Z,OPM,Public Submission,False,09000064b8e49244
OPM-2025-0007-0548,Comment from Katie  B,2025-06-30T04:00:00Z,2025-06-30T20:00:59Z,OPM,Public Submission,False,09000064b8e49318
OPM-2025-0007-0549,Comment from Serena Washington,2025-06-30T04:00:00Z,2025-06-30T20:50:24Z,OPM,Public Submission,False,09000064b8e4939c
OPM-2025-0007-0550,Comment from Anonymous,2025-06-30T04:00:00Z,2025-06-30T20:50:25Z,OPM,Public Submission,False,09000064b8e49ba6
OPM-2025-0007-0576,Comment from Joe Cunningham,2025-07-01T04:00:00Z,2025-07-01T22:04:11Z,OPM,Public Submission,False,09000064b8e498d3
OPM-2025-0007-0572,Comment from Anonymous,2025-07-01T04:00:00Z,2025-07-01T22:04:09Z,OPM,Public Submission,False,09000064b8e4a0cf
OPM-2025-0007-0585,Comment from Ryan Albertson,2025-07-01T04:00:00Z,2025-07-01T22:04:18Z,OPM,Public Submission,False,09000064b8e4a652
OPM-2025-0007-0612,Comment from Anonymous,2025-07-01T04:00:00Z,2025-07-01T22:07:50Z,OPM,Public Submission,False,09000064b8e4a68b
OPM-2025-0007-0599,Comment from Karen Walker,2025-07-01T04:00:00Z,2025-07-01T22:04:28Z,OPM,Public Submission,False,09000064b8e4a6e4
